"thesaurus_bdd";"Nom français V1";"Nom latin V1";"Type de modification";"Nom français V2";"Nom latin V2";"Rang 1";"Rang 2";"Rang 3";"Rang 4";"Regroupement1a";"Regroupement1b";"Regroupement2a";"Regroupement2b";"Regroupement3";"Embranchement";"Sous-embranchement";"Classe";"Sous_classe&Infra_classe";"Ordre";"SousOrdre";"Famille";"Type taxon";"Niv_deter_global";"Niv_deter_detail";"Nb_sp";"Protocole Aspifaune";"Protocole Noctambules";"Protocole Escargot";"Protocole vers";"id_thesaurus_final";"id_thesaurus_bdd"
"qubs.taxon";"Les Vers Octolasion";"Octolasion";"";"Les Vers Octolasion";"Octolasion";"Les Vers de terre (Lumbricina)";"";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Genre";"Genre";"";"1";"1";"0";"1";"74";"101"
"qubs.taxon";"L'Octolasion bleu";"Octolasion cyaneum";"suppression";"";"";"Les Vers de terre (Lumbricina)";"";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"";"0";"0";"0";"0";NA;"102"
"qubs.taxon";"Les Vers de terre";"Lumbricidae";"modif_appelation";"Les Vers de terre";"Lumbricina";"Les Vers de terre (Lumbricina)";"";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";NA;"taxon intermédiaire";"Sous_ordre";"Sous-ordre";"";"1";"1";"0";"1";"16";"87"
"qubs.taxon";"Le Vignysa";"Vignysa teres";"";"Le Vignysa";"Vignysa teres";"Les Vers de terre (Lumbricina)";"Les Vers anéciques (Lumbricus, Aporrectodea et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Hormogastridae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"95";"111"
"qubs.taxon";"Les Anéciques à tête noire";"Aporrectodea longa, nocturna et giardi";"";"Les Anéciques à tête noire";"Aporrectodea longa, nocturna et giardi";"Les Vers de terre (Lumbricina)";"Les Vers anéciques (Lumbricus, Aporrectodea et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Morphoespèce";"Trois espèces du genre Aporrectodea ayant une caractéristique morphologique commune : tête noire";"3";"1";"1";"0";"1";"89";"104"
"qubs.taxon";"Les Scherothecas";"Scherotheca";"";"Les Scherothecas";"Scherotheca";"Les Vers de terre (Lumbricina)";"Les Vers anéciques (Lumbricus, Aporrectodea et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Genre";"Genre";"";"1";"1";"0";"1";"93";"109"
"qubs.taxon";"L'Octodrile aplani";"Octodrilus complanatus";"";"L'Octodrile aplani";"Octodrilus complanatus";"Les Vers de terre (Lumbricina)";"Les Vers anéciques (Lumbricus, Aporrectodea et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"94";"110"
"qubs.taxon";"Les Vers anéciques";"Lumbricus, Aporrectodea et autres genres";"";"Les Vers anéciques";"Lumbricus, Aporrectodea et autres genres";"Les Vers de terre (Lumbricina)";"Les Vers anéciques (Lumbricus, Aporrectodea et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";NA;"taxon intermédiaire";"Plusieurs familles";"";"";"1";"1";"0";"1";"88";"103"
"qubs.taxon";"Les Lombrics anéciques";"Lumbricus terrestris, rubellus et centralis";"modif_appelation";"Les Anéciques à tête rouge";"Lumbricus terrestris, rubellus et centralis";"Les Vers de terre (Lumbricina)";"Les Vers anéciques (Lumbricus, Aporrectodea et autres genres)";"Les Anéciques à tête rouge (Lumbricus terrestris, rubellus et centralis)";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon intermédiaire";"Morphoespèce";"Trois espèces du genre Lumbricus ayant une caractéristique morphologique commune : tête noire";"3";"1";"1";"0";"1";"17";"105"
"qubs.taxon";"Le Lombric central";"Lumbricus centralis";"";"Le Lombric central";"Lumbricus centralis";"Les Vers de terre (Lumbricina)";"Les Vers anéciques (Lumbricus, Aporrectodea et autres genres)";"Les Anéciques à tête rouge (Lumbricus terrestris, rubellus et centralis)";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"92";"108"
