Nom français V1;Nom latin V1;Type modification;Nom français V2;Nom latin V2;Rang 1;Rang 2;Rang 3;Rang 4;Type taxon;Protocole Aspifaune;Protocole Noctambules;Protocole Escargot;Protocole vers
Les Enchytréides;Enchytraeidae;;Les Enchytréides;Enchytraeidae;;;;;taxon terminal;1;1;0;1
Les Larves et chenilles;Insecta;;Les Larves et chenilles;Insecta;Les Larves et chenilles (Insecta);;;;taxon intermédiaire;1;1;0;0
Les Larves de Staphylins et Carabes;Staphylinidae, Carabidae;;Les Larves de Staphylins et Carabes;Staphylinidae, Carabidae;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Driles, larves et femelles;Drilus;;Les Driles, larves et femelles;Drilus;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Le Ver luisant, larve et femelle;Lampyris noctiluca;;Le Ver luisant, larve et femelle;Lampyris noctiluca;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Larves de Taupins;Elateridae;;Les Larves de Taupins;Elateridae;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Larves de Cétoines;Cetoniinae;;Les Larves de Cétoines;Cetoniinae;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Larves de Hannetons;Rutelinae, Melolonthinae;;Les Larves de Hannetons;Rutelinae, Melolonthinae;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Chenilles et Fausses chenilles;Lepidoptera, Symphyta;;Les Chenilles et Fausses chenilles;Lepidoptera, Symphyta;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Chenilles de Noctuelles terricoles;Agrotis, Euxoa et autres genres;modifié (correction appelation);Les Chenilles de Noctuelles terricoles;Noctuidae;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Larves de Tipules;Tipulidae;;Les Larves de Tipules;Tipulidae;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Larves de Stratiomyides;Stratiomyidae;;Les Larves de Stratiomyides;Stratiomyidae;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Nymphes de Cigales;Cicadidae;;Les Nymphes de Cigales;Cicadidae;Les Larves et chenilles (Insecta);;;;taxon terminal;1;1;0;0
Les Vers de terre;Lumbricidae;modifié (correction appelation);Les Vers de terre;Lumbricina;Les Vers de terre (Lumbricina);;;;taxon intermédiaire;1;1;0;1
Les Vers Octolasion;Octolasion;;Les Vers Octolasion;Octolasion;Les Vers de terre (Lumbricina);;;;taxon terminal;1;1;0;1
L'Octolasion bleu;Octolasion cyaneum;suppression;;;;;;;;0;0;0;0
Les Vers tigrés;Eisenia;;Les Vers tigrés;Eisenia;Les Vers de terre (Lumbricina);Les Vers tigrés (Eisenia);;;taxon intermédiaire;1;1;0;1
Le Ver tigré fétide;Eisenia fetida;;Le Ver tigré fétide;Eisenia fetida;Les Vers de terre (Lumbricina);Les Vers tigrés (Eisenia);;;taxon terminal;1;1;0;1
Les Vers épigés;Lumbricus, Dendrobaena et autres genres;;Les Vers épigés;Lumbricus, Dendrobaena et autres genres;Les Vers de terre (Lumbricina);Les Vers épigés (Lumbricus, Dendrobaena et autres genres);;;taxon intermédiaire;1;1;0;1
Le Lombric châtain;Lumbricus castaneus;;Le Lombric châtain;Lumbricus castaneus;Les Vers de terre (Lumbricina);Les Vers épigés (Lumbricus, Dendrobaena et autres genres);;;taxon terminal;1;1;0;1
Le Lombric festif;Lumbricus festivus;;Le Lombric festif;Lumbricus festivus;Les Vers de terre (Lumbricina);Les Vers épigés (Lumbricus, Dendrobaena et autres genres);;;taxon terminal;1;1;0;1
Les Vers endogés;Aporrectodea, Allolobophora et autres genres;;Les Vers endogés;Aporrectodea, Allolobophora et autres genres;Les Vers de terre (Lumbricina);Les Vers endogés (Aporrectodea, Allolobophora et autres genres);;;taxon intermédiaire;1;1;0;1
Le Ver verdâtre, forme verte;Allolobophora chlorotica;;Le Ver verdâtre, forme verte;Allolobophora chlorotica;Les Vers de terre (Lumbricina);Les Vers endogés (Aporrectodea, Allolobophora et autres genres);;;taxon terminal;1;1;0;1
Le Ver verdâtre, forme pâle;Allolobophora chlorotica;;Le Ver verdâtre, forme pâle;Allolobophora chlorotica;Les Vers de terre (Lumbricina);Les Vers endogés (Aporrectodea, Allolobophora et autres genres);;;taxon terminal;1;1;0;1
Le Ver marbré;Aporrectodea icterica;;Le Ver marbré;Aporrectodea icterica;Les Vers de terre (Lumbricina);Les Vers endogés (Aporrectodea, Allolobophora et autres genres);;;taxon terminal;1;1;0;1
Le Microscolex phosphorescent;Microscolex phosphoreus;;Le Microscolex phosphorescent;Microscolex phosphoreus;Les Vers de terre (Lumbricina);Les Vers endogés (Aporrectodea, Allolobophora et autres genres);;;taxon terminal;1;1;0;1
Le Microscolex équivoque;Microscolex dubius;;Le Microscolex équivoque;Microscolex dubius;Les Vers de terre (Lumbricina);Les Vers endogés (Aporrectodea, Allolobophora et autres genres);;;taxon terminal;1;1;0;1
Le Ver endogé gris;Aporrectodea caliginosa;;Le Ver endogé gris;Aporrectodea caliginosa;Les Vers de terre (Lumbricina);Les Vers endogés (Aporrectodea, Allolobophora et autres genres);;;taxon terminal;1;1;0;1
Le Ver endogé rose;Aporrectodea rosea;;Le Ver endogé rose;Aporrectodea rosea;Les Vers de terre (Lumbricina);Les Vers endogés (Aporrectodea, Allolobophora et autres genres);;;taxon terminal;1;1;0;1
Les Vers anéciques;Lumbricus, Aporrectodea et autres genres;;Les Vers anéciques;Lumbricus, Aporrectodea et autres genres;Les Vers de terre (Lumbricina);Les Vers anéciques (Lumbricus, Aporrectodea et autres genres);;;taxon intermédiaire;1;1;0;1
